Date,Open,High,Low,Close
12/2022,"9.65","9.73","9.48","9.48"
11/2022,"9.26","9.56","9.18","9.56"
10/2022,"9.46","9.48","9.13","9.24"
09/2022,"9.76","9.80","9.33","9.39"
08/2022,"10.17","10.17","9.82","9.82"
07/2022,"9.97","10.12","9.87","10.12"
06/2022,"10.05","10.06","9.67","9.91"
05/2022,"9.98","10.14","9.93","10.08"
04/2022,"10.43","10.44","10.04","10.04"
03/2022,"10.85","10.85","10.37","10.46"
02/2022,"10.93","10.94","10.69","10.79"
01/2022,"11.10","11.10","10.90","10.93"
