Date,Open,High,Low,Close
12/2022,"3.19","3.66","3.18","3.66"
11/2022,"2.52","3.18","0.01","3.18"
10/2022,"2.33","2.51","2.33","2.51"
09/2022,"1.72","2.34","1.72","2.33"
08/2022,"1.30","1.71","1.30","1.71"
07/2022,"0.66","1.22","0.66","1.22"
06/2022,"0.03","0.64","0.03","0.64"
05/2022,"0.01","0.03","0.01","0.03"
04/2022,"0.01","0.01","0.01","0.01"
03/2022,"0.01","0.01","0.01","0.01"
02/2022,"0.01","0.01","0.01","0.01"
01/2022,"0.01","0.01","0.01","0.01"
