APPL,GOOG,ADBE
129.93,88.73,336.53
148.03,101.45,344.93
153.34,94.66,318.50
138.20,96.15,275.20
157.22,109.15,373.44
162.51,116.64,410.12
136.72,109.37,366.06
148.84,114.04,416.48
157.65,114.97,395.95
174.61,139.65,455.62
165.12,134.89,467.68
174.78,135.70,534.30
