Date,Open,High,Low,Close
12/2022,"1.05","1.06","1.05","1.06"
11/2022,"1.05","1.05","1.05","1.05"
10/2022,"1.05","1.05","1.05","1.05"
09/2022,"1.05","1.05","1.05","1.05"
08/2022,"1.04","1.05","1.04","1.05"
07/2022,"1.04","1.04","1.04","1.04"
06/2022,"1.04","1.04","1.04","1.04"
05/2022,"1.04","1.04","1.04","1.04"
04/2022,"1.04","1.04","1.04","1.04"
03/2022,"1.04","1.04","1.04","1.04"
02/2022,"1.04","1.04","1.04","1.04"
01/2022,"1.04","1.04","1.04","1.04"
