Date,AAPL,GOOG,ADBE
2022-01-01, 129.93, 88.73, 336.53
2022-02-01, 148.03, 101.45, 344.93
2022-03-01, 153.34, 94.66, 318.50
2022-04-01, 138.20, 96.15, 275.20
2022-05-01, 157.22, 109.15, 373.44
2022-06-01, 162.51, 116.64, 410.12
2022-07-01, 136.72, 109.37, 366.06
2022-08-01, 148.84, 114.04, 416.48
2022-09-01, 157.65, 114.97, 395.95
2022-10-01, 174.61, 139.65, 455.62
2022-11-01, 165.12, 134.89, 467.68
2022-12-01, 174.78, 135.70, 534.30
