APPL
129.93
129.61
126.04
130.03
131.86
132.23
135.45
132.30
132.37
134.51
136.50
143.21
145.47
144.49
142.16
142.65
140.94
142.91
146.63
147.81
148.31
148.03
141.17
144.22
148.11
151.07
150.18
148.01
151.29
150.72
148.79
150.04
148.28
149.70
146.87
134.87
139.50
138.92
138.38
138.88
145.03
150.65
153.34
155.74
144.80
149.35
152.34
149.45
147.27
143.39
143.86
143.75
142.41
138.38
142.99
138.34
138.98
140.42
140.09
145.43
146.40
146.10
142.45
138.20
142.48
149.84
151.76
150.77
150.43
152.74
153.72
156.90
154.48
150.70
152.37
155.31
153.84
163.43
157.37
154.46
155.96
154.53
155.81
157.96
157.22
158.91
161.38
163.62
170.03
167.53
167.23
167.57
171.52
174.15
174.55
173.03
173.19
172.10
168.49
169.24
164.92
164.87
165.35
165.81
166.13
160.01
161.51
162.51
157.35
156.79
151.60
152.95
154.09
155.35
153.04
151.00
147.07
150.17
148.47
145.49
145.86
144.87
147.04
146.35
142.92
141.56
138.93
136.72
139.23
137.44
141.66
141.66
138.27
135.35
135.87
131.56
130.06
135.43
132.76
131.88
137.13
142.64
147.96
148.71
146.14
145.38
151.21
148.71
148.84
149.64
143.78
140.52
140.36
143.11
137.59
137.35
140.82
149.24
145.54
147.11
142.56
146.50
154.51
152.06
157.28
156.77
166.02
159.48
157.96
157.65
163.64
156.57
156.80
162.88
161.79
166.42
167.23
167.40
165.07
165.29
170.40
167.66
165.75
170.09
172.14
171.83
175.06
178.44
174.31
174.61
177.77
178.96
175.60
174.72
174.07
170.21
168.82
165.38
163.98
160.62
159.59
155.09
150.62
154.73
158.52
162.95
157.44
159.30
163.17
166.23
166.56
163.20
165.12
164.85
162.74
160.07
164.32
167.30
168.88
172.55
172.79
168.88
168.64
172.12
176.28
174.83
171.66
172.39
172.90
175.84
174.61
174.78
170.33
159.22
159.69
159.78
161.62
162.41
164.51
166.23
169.80
173.07
172.19
175.53
175.08
172.19
172.17
172.00
174.92
179.70
182.01
